timestamp,wind_generation_forecast
2019-12-31 00:00:00,81.70841509129991
2019-12-31 01:00:00,93.36461166276315
2019-12-31 02:00:00,71.1791367023966
2019-12-31 03:00:00,54.392419592620435
2019-12-31 04:00:00,50.25968185404726
2019-12-31 05:00:00,45.14841753342909
2019-12-31 06:00:00,46.3040327481012
2019-12-31 07:00:00,71.28937964025148
2019-12-31 08:00:00,71.83753385504022
2019-12-31 09:00:00,77.1423383165477
2019-12-31 10:00:00,57.511338441789825
2019-12-31 11:00:00,50.525358378700744
2019-12-31 12:00:00,50.6508711973439
2019-12-31 13:00:00,46.1960310532997
2019-12-31 14:00:00,46.114151622200154
2019-12-31 15:00:00,40.91956251462687
2019-12-31 16:00:00,28.792430612823196
2019-12-31 17:00:00,22.953205039927322
2019-12-31 18:00:00,45.95593995856364
2019-12-31 19:00:00,63.135031131500874
2019-12-31 20:00:00,51.29899685397681
2019-12-31 21:00:00,33.918254835464886
2019-12-31 22:00:00,47.81363366081908
2019-12-31 23:00:00,57.03652963222652
