timestamp,wind_generation_forecast
2019-12-31 00:00:00,53.301102293666204
2019-12-31 01:00:00,53.078157521303105
2019-12-31 02:00:00,51.980517833715496
2019-12-31 03:00:00,52.39038489481094
2019-12-31 04:00:00,52.096895813641325
2019-12-31 05:00:00,51.62117221673733
2019-12-31 06:00:00,52.39711308475143
2019-12-31 07:00:00,52.29471062589621
2019-12-31 08:00:00,51.30158918204344
2019-12-31 09:00:00,51.26140702701044
2019-12-31 10:00:00,50.48776508198862
2019-12-31 11:00:00,50.4524963446266
2019-12-31 12:00:00,51.8099613131271
2019-12-31 13:00:00,51.94866177676607
2019-12-31 14:00:00,52.12950811090653
2019-12-31 15:00:00,52.16807162632345
2019-12-31 16:00:00,52.232787506291714
2019-12-31 17:00:00,52.5816698609278
2019-12-31 18:00:00,52.93912504112944
2019-12-31 19:00:00,52.69890440905302
2019-12-31 20:00:00,53.51414157512127
2019-12-31 21:00:00,53.18495658843243
2019-12-31 22:00:00,53.36537657827547
2019-12-31 23:00:00,53.430557360490816
